,dist_right,y,dist_around,dist_left,dist_up,dist_bottom,x
381,12,0,18.385,0,24,8,25
382,1,18,10.05,17,7,25,8
383,1,4,17.692,3,5,27,6
384,16,3,21.26,2,1,1,2
385,3,12,7.071,11,22,10,23
386,0,19,14.142,18,31,1,32
387,1,18,2.236,17,15,17,16
388,13,6,14.866,0,1,25,8
389,10,2,18.028,1,27,5,28
390,12,0,22.023,0,31,1,32
391,2,17,3.0,16,20,12,21
392,15,4,16.401,3,7,25,8
393,3,16,8.062,0,0,7,26
394,9,6,12.53,0,5,21,12
395,8,4,16.401,3,27,5,28
396,14,5,20.0,4,1,31,2
397,1,5,12.0,4,17,15,18
398,13,6,18.601,0,2,0,3
399,4,2,15.133,1,19,13,20
400,6,13,11.705,12,6,17,7
401,0,19,2.0,18,17,15,18
402,3,9,15.264,2,10,2,31
403,4,8,12.728,1,6,6,27
404,1,14,6.708,13,11,13,12
405,0,15,5.385,14,12,20,13
406,7,12,12.083,11,6,26,7
407,6,9,12.042,2,2,4,9
408,5,1,16.125,0,19,13,20
409,1,18,13.038,17,30,2,31
410,10,5,13.416,4,23,9,24
411,0,2,19.849,1,4,28,5
412,11,1,18.358,0,26,6,27
413,15,0,18.028,0,23,9,24
414,13,6,20.248,0,0,2,1
415,1,14,6.708,13,11,13,12
416,3,12,7.81,11,23,9,24
417,4,11,8.485,10,3,9,24
418,0,12,13.928,11,30,2,31
419,0,19,16.125,18,1,31,2
420,2,17,15.0,16,2,30,3
421,1,14,3.162,13,16,8,17
422,4,15,12.369,14,31,1,32
423,12,7,21.378,0,1,5,8
424,5,10,19.313,4,5,2,11
425,1,18,16.553,17,21,11,22
426,0,19,20.0,18,16,16,17
427,2,17,16.643,16,19,13,20
428,12,0,3.606,0,26,6,27
429,1,14,14.213,13,19,5,20
430,1,4,24.021,3,4,28,5
431,2,10,7.28,4,10,2,31
432,2,13,15.62,12,16,7,17
433,16,3,4.0,2,21,0,33
434,8,4,3.162,3,25,7,26
435,5,1,12.166,0,16,16,17
436,10,2,4.123,1,24,8,25
437,8,4,4.123,3,24,8,25
438,8,4,2.236,3,30,2,31
439,2,17,22.023,16,11,21,12
440,12,3,17.0,2,0,21,12
441,0,15,20.0,14,12,20,13
442,2,10,7.071,4,7,5,28
443,8,11,27.203,10,2,10,3
444,1,18,15.0,17,28,4,29
445,5,14,24.597,13,6,18,7
446,1,18,27.459,17,5,27,6
447,2,17,18.439,16,16,16,17
448,1,18,21.932,17,12,20,13
449,1,1,20.1,0,8,24,9
450,4,15,12.166,14,26,6,27
451,4,15,29.547,14,1,31,2
452,1,5,11.18,4,17,15,18
453,13,6,22.204,0,0,26,7
454,7,8,18.682,1,4,2,11
455,2,17,31.305,16,0,32,1
456,2,4,12.042,3,16,16,17
457,6,13,26.926,12,3,20,4
458,8,11,27.203,10,2,10,3
459,2,17,31.305,16,0,32,1
460,7,5,3.606,4,25,7,26
461,4,15,29.547,14,1,31,2
462,14,5,26.077,4,2,30,3
463,3,16,29.069,0,2,5,3
464,0,19,16.125,18,26,6,27
465,9,3,3.0,2,20,1,32
466,1,5,15.133,4,13,19,14
467,1,14,13.038,13,21,3,22
468,12,3,16.0,2,1,20,13
469,1,14,19.416,13,12,12,13
470,3,12,15.0,11,16,16,17
471,9,6,5.831,0,17,9,24
472,9,6,8.544,0,14,12,21
473,15,4,21.024,3,7,25,8
474,1,18,18.028,17,18,14,19
475,13,2,5.099,1,23,9,24
476,1,4,25.02,3,3,29,4
477,1,5,9.22,4,19,13,20
478,0,19,31.385,18,1,31,2
479,0,19,24.083,18,10,22,11
480,7,5,2.236,4,29,3,30
481,8,7,19.416,0,3,3,10
482,13,6,22.204,0,0,26,7
483,1,1,23.087,0,5,27,6
484,14,5,22.091,4,6,26,7
485,1,18,15.297,17,25,7,26
486,4,8,5.099,1,9,3,30
487,1,18,15.0,17,28,4,29
488,9,6,18.248,0,4,22,11
489,1,18,24.207,17,9,23,10
490,1,11,8.062,10,7,5,28
491,12,3,7.0,2,10,11,22
492,0,19,21.932,18,13,19,14
493,10,2,3.162,1,31,1,32
494,8,11,28.16,10,1,11,2
495,10,2,4.123,1,24,8,25
496,4,8,5.385,1,10,2,31
497,13,2,16.031,1,12,20,13
498,1,14,15.556,13,17,7,18
499,7,8,16.763,1,6,0,13
500,14,5,28.071,4,0,32,1
501,9,6,5.831,0,17,9,24
502,6,9,10.0,2,0,12,21
503,2,17,3.606,16,28,4,29
504,3,16,3.162,0,1,6,27
505,13,6,28.178,0,0,2,1
506,7,5,14.142,4,27,5,28
507,8,11,20.616,10,6,6,7
508,2,17,2.828,16,27,5,28
509,6,0,20.616,0,17,15,18
510,1,18,12.042,17,13,19,14
511,4,15,23.345,14,2,30,3
512,3,12,18.385,11,8,24,9
513,4,11,18.788,10,8,4,9
514,1,14,9.434,13,17,7,18
515,11,4,15.297,3,22,10,23
516,9,6,13.601,0,15,11,22
517,6,0,21.954,0,14,18,15
518,11,1,18.028,0,24,8,25
519,11,1,18.248,0,28,4,29
520,16,3,28.018,2,2,0,3
521,3,16,3.162,0,1,6,27
522,9,10,21.024,4,1,6,7
523,1,11,8.544,10,8,4,29
524,1,11,8.246,10,7,5,28
525,0,19,16.0,18,9,23,10
526,2,4,18.601,3,14,18,15
527,9,10,20.125,4,2,5,8
528,3,12,11.402,11,16,16,17
529,0,6,15.811,0,10,16,17
530,9,10,26.571,4,0,2,1
531,8,11,21.541,10,5,7,6
532,3,16,18.248,0,7,0,8
533,3,16,3.606,0,2,5,28
534,6,13,20.881,12,5,18,6
535,1,18,8.062,17,17,15,18
536,1,14,16.763,13,9,15,10
537,5,14,23.537,13,2,22,3
538,1,14,5.099,13,24,0,25
539,1,1,24.083,0,9,23,10
540,0,19,15.0,18,10,22,11
541,1,18,2.236,17,27,5,28
542,2,0,24.207,0,10,22,11
543,8,11,20.616,10,6,6,7
544,10,2,17.464,1,29,3,30
545,3,12,9.22,11,19,13,20
546,1,1,26.173,0,6,26,7
547,11,4,22.672,3,8,24,9
548,2,17,14.142,16,11,21,12
549,4,2,18.028,1,19,13,20
550,0,15,4.472,14,23,9,24
551,14,1,18.248,0,22,10,23
552,1,18,12.042,17,13,19,14
553,8,7,19.209,0,4,2,11
554,6,9,17.205,2,5,1,12
555,3,9,10.0,2,5,7,26
556,2,13,10.0,12,17,6,18
557,0,5,25.239,4,4,28,5
558,3,3,17.464,2,7,14,19
559,15,0,19.235,0,22,10,23
560,13,6,14.765,0,26,0,33
561,3,12,14.765,11,12,20,13
562,0,2,27.803,1,3,29,4
563,1,14,7.81,13,19,5,20
564,4,2,19.235,1,16,16,17
565,1,5,18.439,4,13,19,14
566,1,18,10.05,17,15,17,16
567,9,6,18.385,0,6,20,13
568,3,16,5.831,0,5,2,31
569,3,12,8.602,11,20,12,21
570,19,0,29.833,0,2,30,3
571,3,12,9.22,11,19,13,20
572,0,19,12.0,18,13,19,14
573,5,14,24.515,13,1,23,2
574,11,1,18.028,0,24,8,25
575,3,3,20.0,2,2,19,14
576,8,7,12.649,0,1,11,22
577,7,5,14.866,4,30,2,31
578,0,19,0.0,18,25,7,26
579,2,17,3.606,16,22,10,23
580,8,4,16.155,3,31,1,32
581,4,2,18.788,1,17,15,18
582,3,16,5.0,0,4,3,30
583,3,12,13.038,11,14,18,15
584,18,1,19.313,0,32,0,33
585,12,0,19.0,0,25,7,26
586,18,1,19.313,0,32,0,33
587,4,15,1.414,14,28,4,29
588,8,4,12.166,3,25,7,26
589,0,19,16.279,18,11,21,12
590,2,17,26.019,16,1,31,2
591,12,0,16.492,0,31,1,32
592,2,0,28.018,0,4,28,5
593,8,7,10.817,0,1,11,22
594,0,15,4.123,14,23,9,24
595,2,0,27.203,0,5,27,6
596,8,7,9.849,0,3,9,24
597,10,2,14.56,1,31,1,32
598,10,2,14.142,1,29,3,30
599,4,8,8.944,1,11,1,32
600,1,18,24.083,17,3,29,4
601,8,7,19.235,0,4,2,11
602,10,2,14.036,1,28,4,29
603,5,10,19.925,4,3,4,9
604,15,0,16.492,0,23,9,24
605,1,11,5.385,10,9,3,30
606,4,15,20.025,14,7,25,8
607,8,7,10.296,0,2,10,23
608,6,13,20.224,12,7,16,8
609,12,7,22.847,0,0,6,7
610,3,12,18.439,11,9,23,10
611,1,11,6.403,10,11,1,32
612,3,12,9.849,11,18,14,19
613,8,7,10.296,0,2,10,23
614,1,18,18.111,17,9,23,10
615,6,0,18.358,0,18,14,19
616,18,1,15.811,0,32,0,33
617,4,15,1.414,14,26,6,27
618,1,18,4.472,17,31,1,32
619,6,6,10.77,0,25,1,32
620,18,1,30.017,0,1,31,2
621,13,2,15.652,1,20,12,21
622,11,8,27.203,1,1,1,2
623,11,4,19.209,3,12,20,13
624,10,2,14.318,1,24,8,25
625,1,14,5.385,13,22,2,23
626,2,0,25.612,0,7,25,8
627,5,10,9.22,4,0,12,21
628,8,4,12.166,3,25,7,26
629,1,14,8.246,13,19,5,20
630,0,19,15.297,18,12,20,13
631,9,3,13.038,2,15,6,27
632,19,0,30.529,0,1,31,2
633,0,19,4.243,18,30,2,31
634,4,11,19.647,10,8,4,9
635,1,14,18.111,13,9,15,10
636,5,7,9.055,0,8,4,29
637,0,19,9.487,18,18,14,19
638,0,2,27.785,1,3,29,4
639,0,15,3.162,14,24,8,25
640,6,13,26.173,12,1,22,2
641,3,12,8.944,11,19,13,20
642,2,0,25.612,0,7,25,8
643,7,12,21.378,11,6,26,7
644,8,4,12.166,3,29,3,30
645,15,0,22.627,0,11,21,12
646,2,17,3.162,16,30,2,31
647,1,4,25.06,3,5,27,6
648,5,14,21.095,13,6,18,7
649,4,8,8.062,1,8,4,29
650,9,3,13.153,2,18,3,30
651,5,1,17.0,0,19,13,20
652,4,15,2.236,14,25,7,26
653,3,12,18.439,11,9,23,10
654,4,2,19.799,1,13,19,14
655,6,13,23.195,12,4,19,5
656,1,1,25.807,0,6,26,7
657,11,8,27.203,1,1,1,2
658,12,7,27.514,0,1,1,2
659,8,4,12.042,3,28,4,29
660,2,17,25.02,16,2,30,3
661,2,10,7.211,4,11,1,32
662,0,19,7.616,18,20,12,21
663,2,4,14.422,3,19,13,20
664,7,12,23.345,11,4,28,5
665,5,14,5.385,13,1,0,33
666,11,1,15.0,0,27,5,28
667,3,3,15.264,2,8,13,20
668,0,19,4.123,18,21,11,22
669,3,16,24.083,0,1,6,2
670,0,19,5.099,18,30,2,31
671,10,9,24.698,2,2,0,3
672,1,5,15.811,4,16,16,17
673,13,2,16.279,1,22,10,23
674,13,6,27.731,0,0,2,1
675,8,4,14.318,3,28,4,29
676,5,1,18.788,0,17,15,18
677,2,13,13.928,12,12,11,13
678,8,11,9.899,10,12,0,33
679,4,8,11.18,1,10,2,31
680,11,4,14.56,3,21,11,22
681,9,3,15.297,2,17,4,29
682,2,17,6.083,16,31,1,32
683,5,7,12.083,0,10,2,31
684,6,0,20.125,0,16,16,17
685,9,10,26.249,4,0,2,1
686,4,11,8.602,10,0,12,21
687,8,11,25.0,10,1,11,2
688,1,11,7.616,10,8,4,29
689,1,1,23.345,0,9,23,10
690,15,4,22.804,3,7,25,8
691,1,14,5.0,13,22,2,23
692,2,17,5.099,16,20,12,21
693,0,19,25.02,18,0,32,1
694,15,0,18.682,0,20,12,21
695,5,10,16.125,4,6,1,12
696,0,5,25.554,4,3,29,4
697,6,9,16.643,2,5,1,12
698,9,10,19.698,4,2,5,8
699,4,8,10.0,1,5,7,26
700,4,15,23.195,14,2,30,3
701,7,5,13.038,4,24,8,25
702,9,6,17.692,0,6,20,13
703,6,0,18.974,0,19,13,20
704,3,12,11.662,11,15,17,16
705,0,19,8.062,18,17,15,18
706,4,15,3.0,14,25,7,26
707,0,5,25.554,4,3,29,4
708,3,12,12.53,11,14,18,15
709,1,11,7.28,10,7,5,28
710,3,12,16.155,11,10,22,11
711,10,2,16.492,1,29,3,30
712,9,3,15.811,2,19,2,31
713,3,12,6.325,11,23,9,24
714,0,15,12.369,14,13,19,14
715,0,19,20.025,18,5,27,6
716,5,14,25.318,13,0,24,1
717,1,14,7.211,13,19,5,20
718,5,10,8.246,4,3,9,24
719,2,17,2.236,16,27,5,28
720,1,18,11.0,17,14,18,15
721,1,14,4.123,13,24,0,25
722,2,13,7.81,12,19,4,20
723,2,4,18.439,3,13,19,14
724,5,7,11.045,0,4,8,25
725,3,12,15.232,11,11,21,12
726,11,8,26.926,1,0,2,1
727,19,0,19.313,0,32,0,33
728,11,1,17.029,0,24,8,25
729,5,7,11.402,0,8,4,29
730,3,9,9.22,2,7,5,28
731,10,2,16.0,1,25,7,26
732,17,2,17.464,1,32,0,33
733,8,7,18.601,0,4,2,11
734,0,12,6.0,11,25,7,26
735,0,15,13.342,14,12,20,13
736,4,8,11.18,1,10,2,31
737,3,12,18.028,11,8,24,9
738,5,7,11.045,0,6,6,27
739,2,17,5.099,16,20,12,21
740,5,14,20.396,13,5,19,6
741,15,4,27.785,3,1,31,2
742,7,8,18.028,1,4,2,11
743,6,9,9.22,2,3,9,24
744,13,2,20.616,1,12,20,13
745,11,1,17.029,0,24,8,25
746,0,19,12.042,18,13,19,14
747,2,17,1.0,16,25,7,26
748,6,6,13.0,0,24,2,31
749,6,13,18.682,12,7,16,8
750,6,0,18.974,0,19,13,20
751,0,2,4.123,1,4,28,5
752,3,16,10.77,0,1,6,2
753,9,10,4.123,4,1,6,7
754,15,4,3.606,3,2,30,3
755,14,5,3.162,4,2,30,3
756,4,15,9.22,14,7,25,8
757,5,1,13.0,0,17,15,18
758,3,9,25.179,2,10,2,31
759,3,3,10.44,2,4,17,16
760,3,16,10.05,0,4,3,5
761,8,4,23.087,3,28,4,29
762,0,2,5.0,1,8,24,9
763,1,18,26.833,17,29,3,30
764,2,13,18.385,12,22,1,23
765,8,11,6.403,10,1,11,2
766,3,12,18.028,11,22,10,23
767,11,1,22.561,0,27,5,28
768,11,1,19.647,0,24,8,25
769,13,6,1.0,0,0,26,7
770,5,14,28.16,13,1,0,33
771,1,14,14.422,13,17,7,18
772,4,2,12.649,1,17,15,18
773,3,9,24.187,2,9,3,30
